S.No.,Name,CMP Rs.,IV Rs.,Mar Cap Rs.Cr.,OPM %,P/E,CMP / BV,PEG,ROE %,ROA 12M %,ROE 3Yr %,ROE 5Yr %,Sales Var 3Yrs %,Sales Var 5Yrs %,Profit Var 3Yrs %,Profit Var 5Yrs %,ROCE % 
64,Schneider Elect.,1180.1,158.3,28216.19,14.28,107.83,42.87,1.04,73.96,14.5,109.37,,19.88,13.75,103.48,59.03,40.9
65,Travel Food,1285.2,628.35,16923.45,38.42,40,14.29,0.18,37.62,21.06,38.06,25.14,63.31,16.87,218.59,29.08,40.56
66,Solarworld Ene.,195.13,708.83,1691.24,10.56,20.92,2.26,0.1,40.21,20.43,56.57,,169.63,,215.07,,40.36
67,Danish Power,838.05,987,1650.26,18.5,24.66,4.75,0.21,28.94,20.15,34.32,30.54,41.93,33,118.52,100.5,40.21
68,Action Const.Eq.,907.25,989.02,10803.82,15.42,25.56,6.06,0.45,28.65,16.7,26.79,24.1,26.86,23.54,57.26,51.12,40.11
69,KPIT Technologi.,709.6,586.33,19453.24,19.56,25.56,5.96,0.59,32.5,18.14,30.38,26.71,33.92,22.06,43.2,39.82,40.03
70,Blue Jet Health,403.35,233.64,6996.73,34.45,23.83,5.57,1.32,30.24,24.16,26.75,31.16,14.65,13.86,18.11,15.67,39.75
71,Ashoka Buildcon,133.05,1265.19,3735.02,29.01,3.57,0.89,0.07,54.78,8.69,37.42,40.07,18.71,14.63,49.27,60.11,39.7
72,Bondada Engineer,366.3,309.72,4090.53,11.45,20.97,7.08,0.17,36.24,13.4,34.83,32.28,67.54,46.94,121.74,61.16,39.5
73,Dynacons Sys.,1036.95,1572.12,1320.77,10.28,15.76,4.85,0.25,37.28,10.64,38.82,36.16,24.66,31.03,63.66,63.91,39.17
74,Indrapr.Medical,406.45,320.66,3726.05,18.45,20.37,5.66,0.55,30.04,20.49,28.29,23.24,15.16,10.3,36.9,29.45,39.1
75,Fujiyama Power,302.24,116.51,9260.96,16.15,47.83,17.55,0.63,49.14,19.26,31.32,31.59,44.9,38.77,76.28,70.94,38.88
76,3M India,32635,5260.37,36779.65,19.54,112.26,22.83,5.2,23.85,15.2,23.55,17.54,13.03,9.96,21.57,16.8,38.17
77,Central Mine Pla,180.85,178.8,12912.69,33.57,21.06,5.66,0.77,28.35,20.64,33.06,31.8,18.67,9.25,27.39,14.11,38.07
78,Inox India,1508.6,596.72,13692.58,21.98,54.15,13.97,2.77,28.99,15.35,30.21,30.02,18.61,15.01,19.53,22.9,37.98
79,Indo Tech.Trans.,2402.9,1894.95,2551.88,14.5,28.41,7.86,0.39,25.66,15.5,22.7,17.81,29.75,24.4,73.69,101.56,37.8
80,Benares Hotels,10012.2,7750.56,1301.59,42.62,29.55,7.11,0.3,28.29,24.61,28.73,20.32,39.56,16.31,97.08,31.81,37.33
81,Zen Technologies,1674.4,1267.02,15118.22,39.94,57.64,8.41,0.14,26.08,21.38,25.5,20.62,140.78,45.5,411.28,36.63,37.22
82,Jyothy Labs,259,168.09,9510.86,16.08,27.54,6.61,0.71,29.02,19.5,30.59,27.15,9.05,11.3,38.58,18.03,37.11
83,Blue Cloud Soft.,19.17,32.4,1443.66,10.43,23.5,9.15,,44.47,16.28,,,,,,,37.07
84,Avantel,154.16,45.79,4096.2,22.04,250.99,12.65,5.41,28.12,22.31,31.48,29.57,33.4,,46.42,,37.06
85,Sri Lotus,144.81,237,7077.21,41.19,31.14,4.05,0.15,41.27,23.31,52.18,,84.3,,206.86,,37.06
86,Symphony,794.7,384.68,5457.32,18.28,33.37,6.97,1.25,32.36,19.29,20.89,18.85,14.89,7.4,26.61,5.82,36.8
87,Concord Control,2436.7,1295.4,2530.12,22.78,83.23,17.74,0.79,27.39,23.08,31.27,31.84,57.71,50.92,104.72,84.83,36.78
88,Garden Reach Sh.,2878.7,1528.48,32976.08,10.13,47.86,14.36,1.14,27.6,5.02,22.7,20.16,42.49,28.78,42.06,25.45,36.64
89,Seshaasai Tech.,239.85,615.48,3880.91,25.77,17.3,3.03,0.21,41.45,20.96,43.93,39.31,29.55,,81.28,,36.54
90,Jai Balaji Inds.,71.53,44.51,6525.61,9.02,22.28,2.94,0.18,30.74,15.4,,,11,16.87,125.56,48.19,36.08
91,Afcom Holdings,774.15,1501.45,2018.06,34.41,16.71,8.73,0.15,28.92,22.66,28.61,,70.37,,109.36,,36.05
92,Sudeep Pharma,681.8,603.37,7700.84,38.06,48.89,10.63,1.21,32.77,22.55,,,13.54,32.48,40.46,50.39,35.65
93,The Bombay Burmah,1492.7,2285.67,10414.85,17.7,9.62,1.66,0.06,21.94,17.9,-18.94,-9.05,8.05,9.01,161.44,13.5,35.52
94,Dolat Algotech,77.56,327.39,1365.06,55.97,11.2,1.3,1.28,24,20.82,22.25,27.36,18.05,27.42,8.77,24.84,35.48
95,Transrail Light,576,902.73,7733.15,12.15,17.35,3.73,0.24,21.55,6,20.88,19.25,31.44,23.06,71.36,26.62,35.22
96,C P C L,1035,2527.82,15412.33,7.48,4.97,1.39,-1.18,32.13,16.71,23.48,33.32,-5.86,23.42,-4.22,64.54,35.11
97,Shanthi Gears,469.25,250.11,3599.89,20.68,42.86,8.34,1.37,25.65,20.27,24.9,20.97,21.5,20.07,31.32,30.94,34.87
